,NO,Time,FcName,FcCode,FcLoc,water_use,Cl_Val,Cl_Unit,pH_Val,pH_Unit,tb_Val,tb_Unit
102,978,2022050322,반월정수장,4127112311,경기도 안산시 상록구,생활정수,0.9930,mg/L,7.4191,pH,0.0533,NTU
103,977,2022050322,고양정수장,4128512319,경기도 고양시 일산동구,생활정수,0.8908,mg/L,7.5584,pH,0.0679,NTU
104,976,2022050322,일산정수장,4128112315,경기도 고양시 덕양구,생활정수,0.9488,mg/L,7.5756,pH,0.0589,NTU
105,975,2022050322,황지정수장,4219012371,강원도 태백시 황지동,생활정수,0.8389,mg/L,7.2496,pH,0.0731,NTU
106,974,2022050322,천안정수장,4413112355,충남 천안시 동남구,생활정수,0.7366,mg/L,7.1074,pH,0.0679,NTU
107,973,2022050322,성남정수장,4113112313,경기도 성남시 수정구,생활정수,0.8244,mg/L,7.4832,pH,0.0474,NTU
108,972,2022050322,석성정수장,4476012351,충남 부여군 석성면,생활정수,0.8002,mg/L,7.4852,pH,0.0508,NTU
109,971,2022050322,덕소정수장,4136012317,경기도 남양주시 와부읍,생활정수,0.8483,mg/L,7.4073,pH,0.0442,NTU
110,970,2022050322,청주정수장,4311112353,충북 청주시 상당구,생활정수,0.9588,mg/L,7.5852,pH,0.0608,NTU
111,969,2022050322,운문정수장,4782012340,경북 청도군 운문면,생활정수,0.7526,mg/L,7.1597,pH,0.0423,NTU
112,968,2022050322,양산정수장,4833012382,경남 양산시 상북면,생활정수,0.5376,mg/L,7.0786,pH,0.0430,NTU
113,967,2022050322,파주정수장,4148012318,경기도 파주시 파주읍,공업용수,0.0000,mg/L,7.4850,pH,0.1670,NTU
114,966,2022050322,청주정수장,4311112353,충북 청주시 상당구,공업용수,0.0950,mg/L,7.6275,pH,0.3945,NTU
115,965,2022050322,시흥정수장,4127312314,경기도 안산시 선부2동,공업용수,점검중,mg/L,7.5660,pH,0.1857,NTU
116,964,2022050322,보령정수장,4418012359,층남 보령시 웅천읍,생활정수,0.9233,mg/L,7.6814,pH,0.0525,NTU
